content,sentiment
Uwow aja lah... Tp sayang seson kemaren malah kena prank yang katanya dapet skin gratis...,positif
game bikin olayernya stres karna mactmaking gk jks musuh nya mantan imo timnya epil lerbaiki monton cale lose mlu dpt tim gk jls,negatif
Game nya damai sekali tidak ada yang berkata kasar dan dark sistem apalagi kalo main solo🥰,negatif
montoon sering bagi² skin gratis🥰🥰🥰,positif
Game sampah,negatif
game seru banyak event gratis,positif
DRAK SISTEM LOL,negatif
Fun bangetttt,positif
"Event Gold Card Scam anjir, Bikin kecewa mulu",negatif
Jos,negatif
"BUSUK PARAH,matchmaking solo players. 14x lose.tidak masuk akal tuk game sebesar ini.",negatif
Bagus,positif
mikir lah tolol monton by one kita,negatif
🔥🔥🔥,positif
👍🔥🔥,positif
Seru San bikin candu main dan ada banyak skin yg di gratis kan jadi bikin ketagihan,positif
gacor min,positif
Gem yang sangat bagus,positif
cukup baik,positif
Game MOBA terbaik abad ini,positif
Keren,positif
Monton ayolah kasih tim ke gw tu yg wajar seimbang,positif
Saya suka fitur baru dari MLBB,positif
"Untuk Hero event dll nyaa udh bagus bangett... Tpi yang jdi masalah nya itu tim nya tolong lah montoon untuk keadilan nya masa harus stuck trs di pangkat mytick Romawi,honor atau glory kan kita semua juga ingin merasakan mytick immortal jdi tolong tentang tim nya montoon tolong di pertimbangkan lgi Terimakasih",positif
Sip Mantap,positif
"Game yang sangat bagus, sangat seru saat dimainkan bersama teman-teman",positif
Ok,positif
"Makin kesini makin ngeselin main ini game, malah terlalu sering satu tim dengan user role yg sama. Mending main Honor of Kings dikasih tim gk egois, yg pasti gk ada dark system para bocil joki.",negatif
bagus,positif
Game nya bagus lebih dari pada game sebelah,positif
game bagus bgt,positif
Game nya keren banget seru menantang tapi tolong monton dark sistem jangan setiap hari lah monton masa baru main udah ketemu dark sistem Segitu aja si dari saya,positif
Udah,positif
best game nya,positif
seru,positif
bagus,positif
Mantap,positif
Moonton balikin skin argus starlight di token ungu,negatif
Bagus emang game nya tpi belakangan ini saya sering dikasi tim yg ga kompak sama moonton sehingga saya losstreak,negatif
Game terbaik,positif
"game nya bagus seru deh,walau banyak dark system",positif
Di kasih dark sistem Mulu punya masalah apa sih ini game mvp ga guna anj,negatif
anjay,positif
"tolong yang adil lah game jngn begini mulu capek gw ketemu tim drak sistem, musuh pda hebat semua kocak gk adil ini capek gw montoon",negatif
Mantap,positif
sangat buruk dark sistem merajalela ini game moba ga mungkin 1 melawan 5 game bikin perusak mood dan bikin emosi di kira gampang naikin bintang ?,positif
Bagus,positif
Ok,negatif
keren,positif
Gem nya bagus,positif
wah mantap,positif
Its fine game,positif
Game nya bagus sangat disarankan untuk orang yang sering ngegabut,positif
Kurangin drak sistem mu muntun Mayan skin gratis,positif
Bagus,positif
"Moonton, ko mytik sekarang kaya asu, pada nobb semua ,terutama kalau main solo,ngaco semua",positif
"game bagus,minus tim ga sesuai sama skil kita,kalo bisa di sesuaikan, contoh kita lumayan jago kasih tim yang lumayan jago juga",positif
Tolong pihak moonton jika saat main hampir kalah dan ga sengaja keluar trs relog jangan dibuat lama masa saya nunggu 5mnt itu aja masih 78% kalau kaya gini merugikan pemain namanya itu aja trs game telah selesai dan kalah kalau kek gitu kan bikin ngurang skor kredit kalau di repport,positif
Bagus banget sih,positif
Bagus banget game nya aku sangat suka😁😁,positif
Banyak dark sistem dasar monton babi,negatif
Mantap,positif
"Untuk draft tim masih BURUK, bagi player solo ketemu tim bot terus yang pertandingan nya di atas 500 tapi wr nya di bawah 50%. KALAU MAU BUKTI, SINI AKU KIRIM FOTO HASIL PERTANDINGAN NYA. SERASA 1 VS 5. PADAHAL SUDAH MVP, TIM NYA MALAH SILVER AND COKLAT.",positif
Game ml mantap,positif
Lumayan menguras kesabaran,positif
Gem ini sangat bagus sekali tapi sayang hp ku pata patq,positif
Aku suka geem ini .sangat mudah untuk di mainkan,positif
Keren,positif
Gamenya asik aku gak dapet dark sistem (\_/) (°.°) /. >I love you ML Thank you ML,positif
Mantap,negatif
Masih banyak bug,negatif
Ok,positif
awokeok,negatif
Nice,positif
gud,positif
seru tampilan gambar nya oke....,positif
Keren banget,positif
GAME APA BISU APA GIMANA GADA SUARA UDH DONLOAT DATA TAPI HERO MASI BULAT BULAT HALHH BENERIN LAH,positif
Ml babi,negatif
Nice,positif
cape ls mulu jing,positif
nice,positif
ok,positif
Keren,positif
Bagus saya main dari 2017 masih aman ternyata,positif
Wihh,positif
Game nya bagus cuman kurangnya item mahal untuk daimon nya....,negatif
Kasih glory lah season ini,positif
Bagus,positif
Love you moonton,positif
"Dear montoon!!!!! SEKARANG BUG BARU SAYA TEMUKAN SAAT DI TENGAH TENGAH GAME TIBA TIBA GAME KELUAR SENDIRI TANPA ALASAN YANG JELAS INI MMEBUAT PERFORMA TIM KAMI MENJADI BURUK , SEMOGA PEEERRBAIKII YYAAA!!!!!!!!!!!!",negatif
Game yang sangat mengasah otak,positif
Good,positif
game bijak,positif
Okh,positif
game gampang,positif
Game nya seru sekali,positif
Game nya udah bagus makin di update makin Hd tapi tolong hilangin Dark Sistem🗿,positif
This game so fun I love mobile legend,positif
Seru sih tapi waktu udh main 1 bulan waktu legens malah seson,positif
Game yah seru bngt ada hero² unik dan keren tapi tolong di perbaiki lagi dalam game kuringin drak sistem yh tapi ttp keren aku masih bintang 5,positif
"kem bankan ml sampai no 1 semangat tambakan event Naruto dari pemain setia ml,tambakanlah ren baru melebihi mitik imortal",positif
Game yg bagus,positif
Ancok kalah tok akeh draksistem,negatif
Terimakasih moonton aku dapet istri dari kenalan di game ini😁,positif
"Kesal soalnya sering dikasih tim dark sistem, yg adil plis papa moonton, kalo udah nanti aku balik lagi🥺🤏🏻",negatif
Karena aku selalu kena drak sistem,negatif
Game play yg gak imbang masa main dapet tim kek buta lah sengaja mati lah dah di laporin gak ada respon balik nya malah di kasih yg lebih parah kalau kaya gini main game sebelah aja lah makasih dah ku APUS mau main honor of king aja yg lebih ok grafik nya skin nya,negatif
Moonton bercanda?,negatif
Anggela Gudd,positif
Game bapuk,negatif
Game bagus.,positif
kelas,positif
Well Played,positif
Bagus,positif
"Sangat bagus untuk melatih reflek, tapi saya ingin grafiknya lebih baik",positif
busuk,negatif
Bagus,positif
Game seru anjayyy (cuma nyelesain misi bg),positif
Sangat puas,positif
Good game,positif
"Main game HOOK aj banyak skin gratisnya, terus juga gamenya seru hero nya bagus bagus lagi, dan juga skin yg di gratisin bagus bagus semua,kalo main juga dapet team yg bagus, bisa milih hero sepuasnya lagi😘",negatif
Game yang sangat keren,positif
Kebanyakan dark sistem sistem match making gk adil mending pindah ke hok,negatif
Gege,positif
"Dear moonton, saya ingin memberitahukan,kenapa selama 3 hari ini,akun mobile legends saya error. Contoh:ada tulisan moonton, Tulisan mobile legends(sebelum game loading) tapi mengulang lagi seperti tadi,saya menunggu 30 menit,tapi tidak ada hasil sama sekali!. Saya sudah log out tapi masih aja kayak tadi. Tolong moonton kasih cara agar tidak error begini lagi! Semoga di baca 🙏🙏",negatif
Bagus,positif
Saya sangat suka game bagus,positif
Seru,positif
"moonton tolong hukuman player"" yang troll di pertegas lah, masa udah ngetroll ga dapet apa""",positif
game banyak dark system tapi gua suka moonton,positif
Mantappu,positif
bgus,positif
Sangat seru tapi mohon saat player kalah jangan mins bintang itu saja yang saya harapkan terima kasih aku s3lalu menang ok,positif
Keren Kadang bikin kesel kadang lucu,positif
kasi skin lancelot free min:),positif
mantapp,positif
Game penghilang stress . Mantap,positif
Game moba sangat seru👍👍👍,positif
Saya menyukai game ini ❤❤,positif
Jauh kan dari negara lee,positif
bagus tapi dapet DS mulu,positif
Bagus🤣👍,positif
Bagus,positif
Gakbisa,positif
"Bagus sekali,dan seru",positif
Keren,positif
aduh kepala rasanya nyut nyutan,positif
bagus,positif
Gem ini bagus,positif
Event nya bagus cuman Masi banyak drak system,positif
Asik sekali,positif
Gue masih coba² sih gak tau bagus atau apa 🙏🙏🙏,positif
Sangat luar biasa,positif
Bgus,positif
GGGGGGGGGGG BANGETTTT MUNTUNN BAGI BAGI SKIN HEHEHEH 😁😁😁,positif
Ok,positif
Kadang kadang darksistem,positif
keren,positif
game seru,positif
Sinyalnya jelek suka jumping. Bikin emosi main.. Giliran afk... Kredit score dikurangi sampai kena ban matchmaking. Gx bisa main rank.. Padahal kesalahan dr aplikasinya. Yg jadi korban player.,negatif
Gue main temen bot musuh GG,negatif
Banyak banget orang yang ga bisa main,positif
Game terjelek yang pernah aku mainin karna banyaj draksistem udah banyak bug GK pernah ada diamond gratis mending pindah ke hok lebih seru dari mlbb dan yang lebih bagus di hok ada 100 skin gratis ada diamond gratis juga segera download hok ya ges,negatif
baguss bikin setress,positif
Bagus. Nih game,positif
anjay game mantap banyak skin gratis,positif
Ok,positif
"gw udah ganti hp, jadi yaa masi bisa di maenin lah",negatif
Kerennn minn,positif
Ok,positif
You Moonton Dog Moonton Pig Game Tolol,negatif
Bagus,positif
game yah bagus,positif
Banyak bugg,negatif
Good,positif
Game bagus!!!!!!!!!!!!,positif
Biar bintang aja lah,positif
Bagus,positif
"INI GAME,GAME AMPAS SETIAP CARI PERMAINAN KOK RECONNECT PADAHAL SINYAL BAGUS BUKA YOUTUBE LANCAR GAME LAIN LANCAR DASAR GAME AMPAS, SEKALI AMPAS TETAP AMPAS,DASAR GAME SAMPAH",negatif
Game yang sangat bagus,positif
sangat baguss,positif
The best mohon sistem solo rank lebih di perhatikan lagi agar player solo tidak ketemu dark sistem,positif
B4 dulu karna masih terdapat dark system di ML,positif
Mantap,positif
Osama gacor,positif
Lebih dominan,positif
Hero Naruto kapan keluar gan,positif
Bagus,positif
"Secara pandangan saya, game mobile legend sangat sulit dikuasai oleh 1 orang jikalau tim yang bermain itu tidak kompak, maka dari itu, tolong lah untuk semua player mobile legends untuk bermain dengan kompak atau jikalau tidak ingin bermain rank/classic bisa mengganti mode ke magic chess. Magic chess adalah mode game dari mobile legends yang bisa dibilang cukup gampang bermainnya, kalian cukup tentukan sinergi apa yang mau kalian pakai, terus usahakan untuk tetap menjaga win streak. Terimakasih♾",positif
MANTAP 🔥,positif
comform bagus punya looo,positif
Netral,positif
Tolong diperbaiki lgi gemplay nya,negatif
Game nya bagus update,positif
Montoon kalo bisa tambahin tingkat hard di mode offline,positif
Bagus,positif
Dapet tim bot terus terus dapet musuh jago aneh banget sistem nya,negatif
"The best, inilah salah satu gem terbaik dari semua gem yang ada, untuk teman2 yang baru ayo download gem ini kalian akan suka dengan semua permainannya, dan banyak kejutan2 gratis yang akan kalian dapatkan dari gem terbaik ini, dan untuk teman2 yang lain jangan lupa memberikan gem terbaik ini ulasan bintang 5 ya......sebab kita sudah diberikan hiburan yang terbaik sehingga membuat kita merasa nyaman, Gem MLBB akan selalu menjadi yang terbaik, Thank you Gem MLBB 🙏 👍",positif
keren,positif
Bagus sih tapi gak bisa takutin akun nonton pake bahasa jepang,positif
Seru bet,positif
Pemain tidak menulis apapun,positif
Sangat seru,positif
"matcmaking ga imbang, ping naik turun sring bgt tiba2 ngelag padahal jaringan baik2 aja. terus TOLONG TINDAK LANJUTI ORG2 YG PAKE RW RW ITU. rank tinggi tp gak pande main. game full gimmick.",negatif
Good,positif
Sangat baik gamenya,positif
Woi moonton kasih lah tim yang bagus gw malah dikasih tim yang tolol cok,negatif
Banyak dark sistem,positif
Game nya asik,positif
Pembagian tim yg tdk jelas,negatif
Banyak lagi skin epik,positif
Game nya bagus,positif
Mantal,positif
Wow,positif
Gudang dark sistem,negatif
oke,positif
gamenya sudah ngga kikir,positif
Membantu waktu luang,positif
"pantes player nya banyak yg pindah ke hok, orng ngasih tim g pernah bener, minimal mah sesuain lah sama musuh nya",negatif
mantap,positif
Bagus banget,positif
Makin susah dapet skin 😭😭😭😭😭😭😭😭😭😭😭,positif
Terlalu banyak upgrade tapi masih okehh . Tapi tolong jangan lose terus,positif
seru,positif
Bikin pusing,positif
poll,positif
Game yg sangat ramah enak untuk menghilangkan stres,positif
Keren banget,positif
Gamenya bagus bgt,positif
"Game nya bagus grafik tergantung hp ya kawan kawan,cuman minus cuman 1 kadang suka di kasih team yang lemah ga bisa main,lain kali harus di seimbangkan ya moonton",positif
Semoga kedepannya bisa menjadi lebih dan lebih baik dari era yang kemarin,positif
Udh bagus tpi moonton tolong dari sistem nya di kurangi,positif
Keren,positif
Game nya bagus tapi banyak darksytem nya bukannya hepi malah stress.plis lah montoon kasi menang dan hapus darksytem nya,negatif
Mayan,positif
Game yg sangat bagus untuk dimainkan dan dapat skin gratis yg blm gw punya🥲🥲,positif
Drak sistem semakin merajalela,negatif
Terus update,positif
GG banget game nya,positif
"Game yang sangat baik dan populer , beserta lucky bonus menyediakan skin2 terbaik",positif
Bagusss,positif
Game yang sangat bagus dan keren bagi ku,positif
Mantappp,positif
BUAT PERMAINAN MAGIC CHESS DI PLAY STORE,positif
Tak taw,positif
Ga keren kerafik ok menang kalah terus makasih kakang mooton iningame bess deh ga nyesel kloo donwload,positif
Mantep,positif
tol sama kaaauuu,negatif
sangat baguss,positif
Bagus,positif
Geam yang bisa di mainkan di waktu luang,positif
Gem bagusssss,positif
"Sumpah ni game rusak, bug nya di perbaiki jangn cuma fokus di grafik atau skin,.. Perbaikin mecht macking nya, dark sistem dikurangin bego, bisa gila main game ni, haram betul game nya, sangat buruk, pantas banyak yng pindah ke game sebelah",negatif
Enak Bagus sekali,positif
Gamenya Enak Tapi Ada Juga Yang Ngeselin Teman Setim Kita Kenapa Sangat Tidak Bagus Mainya Lalu Di Tim Lawan Mainya Sangat Baik,positif
Game nya gk bagus buat di mainin+playernya bot semua kalo di team kita😡😡😡,negatif
Kerenn anjgggg,positif
makin lama makin blok ini game. moonton mohon di baca terlalu lama mulai gamex,negatif
Good handjo,positif
Keren coy tapi agak gk hoki ya jadi gitu deh ydh gw kasih b 4 lah,positif
Bagussss,positif
"aku gaakan prnah gantiin ml dengan hok, i love u ml.",positif
Kek kon,positif
Kereny,positif
mantap ajg,positif
👍,positif
Top lah,positif
Mntap,positif
Download data terus lepas tu Lang saat main,negatif
Bikin Stress,negatif
hebat,positif
Game nya bagus,positif
Mntap,positif
Ok,positif
Terkadang pemberian lawan atau musuh itu ngga sepadan dengan tim tapi apa boleh buat namanya juga game,positif
mantapp,positif
Oke Oke Oke,positif
Sayah pemain Baru game ini bikin sakit hati orang orangnya selalu menghina dan membuli padahal sayah baru pertama bermain saya sangat kecewa dan sakit hati,negatif
Nyeni poll,positif
"Nice!!! , Moonton tolonglah benerin bug event sama skin bulat² di update an baru",positif
"Update makin gede,bug makin banyak,jaringan makin kacau,jaringan ijo tapi lag parah game gajelas pantesan pindah ke Hok",positif
Nice,positif
Game kmtl,negatif
bagus,positif
Game terkeren,positif
Very kul gem,positif
Moonton kembalikan joy seperti awal rilis,positif
Keren banget,positif
Makasih skin gratis nya moonton 🥰,positif
Mantap,positif
Asikkkk poulll gem nyaa,positif
Tim gw dark sistem mulu,positif
Seru,positif
Bagi dm moonton,positif
Game yang sangat bagus tim nya jago jago update yang sangat bagus dari tahun ke tahun,positif
Game nya sudah bagus tapi mohon maaf ya kalo aku main aku ke Ben terus tolong diperbaiki secepat nya 🌚🌚 😇😇,negatif
SAYA SUKA SAMA MOBILE LEGEND😘😘😘😘😘😘😘🥰🥰🥰🥰🥰🥰🥰😍😍😍😍🥰😍🥰🥰,positif
b ajaa guud,negatif
mantap,positif
Game nya sangat bagus,positif
Kenapa sinyalnya selalu tidak stabil disaat war,negatif
Game nya bagus tapi banyak draksistem hari-hari main draksistem Mulu stres guaa plis hapus draksistem nya woi,negatif
Mantap game ini,positif
MELE BAGUS KALI,positif
Ok,positif
Suka aku dengan game ini,positif
well,positif
bagus,positif
Keren,positif
Game bbi mending main hok aja,positif
Mantap,positif
Balikin skin starlight sun gue,negatif
"Moonton tolong perbaiki matchmaking yg adil, masa yg mabar trio rolenya sama semua tolong hindari yg seperti itu monton",negatif
badak binatang,positif
Bnr sikit ksi tim msa main mytic ktmu tim warior klo 1 mah gpp ini4 gmn si lol,positif
"Jangan ragu untuk bermain game ini. Walau kikir tapi gameplay tidak sekaku moba lain. Banyak event dan skin gratis. Terus berkarya moonton, keluarkan ide kreatifitas mu, habis kan uang uang player mu.",positif
Mantap,positif
Sistem matckingnya gak adil dan selalu musuh dapat hero meta tim gue gak bisa main,negatif
Bagus game nya skinnya gratis,positif
"gak jelas ini yg gak bisa main yg lain,, kita yg malah yg di ban hadehft",negatif
Jangan download gem ini karna kalau kalah di kurangin kredit skor,negatif
"Bagus kali nih game ramah,baik",positif
Nice,positif
Penghibur diwaktu senggang,positif
Bagus seru,positif
Menarik,positif
Bagus,positif
"Hadeh moonton moonton, mendingan aku ke hok dah dapat tim gak jelas/ gak seimbang , gak usah main ni ml, ganti ke hok aja SEKARANG!!!!!",negatif
Gamenya sangat seru,positif
Mantap,positif
Gacor wak,positif
Gofdddd,positif
Gemnya bagus dan seru juga,positif
Lumayan tapi mohon timnya di perbaiki,positif
Top game,positif
Game bocahh,positif
Good,positif
nice,positif
anjayyy,positif
Mantapa dapat sekin gratis,positif
Game yang tidak merata dlm permain mau pun event tiap server luar Indonesia dengan server Indonesia Lebih baik pindah game sebelah HOK lebih bagus dalam pembagian event dan cara game play dalam permainan. Saran saya ini game sudah layak buat d tutup saja di game moba d Indonesia,negatif
Dikasih lose 10x udah konsultasi malah di losein Mulu,negatif
game yang menarik,positif
"Semenjak update jadi kena bug freeze, ga gerak sama sekali. Padahal buka apa apa bisa, tolong di perbaiki lagi. Sangat menganggu permainan",positif
"gamenya seru, asik, player nya ramah²",positif
Playernya seru seru sama seperti gamenya,positif
Oke,positif
Game yang bagus dan event yang lumayan bagus Kata kata: tolong jangan mahalkan DM,positif
mantap,positif
Good,positif
game idiot,negatif
"Nyesel aku kasih 5 bintang awal awal doang yg bagus, akhir akhir ini selalu Maslah jaringan pdhl jaringan ku bagus bagus ajja, trus kalau main solo sistem kasih tim slalu boot dn merusak lingkungan pertandingan, laporan ku sering kali tidak di respon kredit skor sya terus menerus mnurun game Uda rusak parah GK Kya dulu lgi",positif
Kren,positif
Game seru banget tapi tolong update map baru atau gratisan nya lebih cepat,positif
Game yg sangat menyenangkan untuk para orang yg sedang kelelahan👍,positif
game bagus,positif
Drak sistem,positif
Keren,positif
Bagus,positif
Monton gg,positif
Good,positif
Game haram,negatif
berikan lawan moba yang sepadan dengan high rank nya,positif
Ak mw layla gratis,positif
nice,positif
Bagus,positif
Grafik yg hebat dan belajar kekalahan,positif
Bagus .................,positif
Game keren mantap,positif
"sinkat saja,bagus",positif
"bagus! Strateginya juga bagus, tapi kenapa pas ngespin hero itu trial doang? Rugi deh jadinya, terus pas udah epic bentar lagi ke mytic malah balik lagi sendiri ke Grand Master, siapa yang gak kesel? Pliss benerin bug nyaa",positif
Nice,positif
Godjob,negatif
LUMAYAN LAH,positif
Mantap👍,positif
Sangat bagus,positif
Ini adalah game terkeren yang pernah saya mainkan,positif
"Tim musuh Ama tim lawan gak sepadan tim gw Lane nya acak acakan trus banyak yang eror banyak bug nya, kalo lagi main menang sekali doang, masa tiap turun renk makin susah musuh nya, kata gw lebih bagusan game pou daru pada ini coma bikin kesel doang",negatif
Ok,positif
Msh ok lah,positif
Game sangat bagus dan suka bagi bagi skin 100 buat mobile legend,positif
Mantap,positif
Montoon kasih skin gratis ya wkwk,positif
YTTA,positif
Banyak dark system,negatif
Efek skinnya kurang,positif
Gem nya agak seru tetapi setelah saya gen master masalah yg tidak ringan menipa saya,positif
Suka suka suka suka,positif
Masa ada yang mati 10x dia pula yang kuning dia pun ngekil cuma 0 aku aja ngekil 10,negatif
kurangin dark system,positif
Game nya seru tpi harga diamond mahal banget,positif
Sangat menghibur kaum gabut,positif
Kurangi dark sistemnya,positif
Monton GK ngasih kami menang satupun gua lost treak 10 kali GK di kasi menang,negatif
Mantap,positif
Mantap,positif
enak banget game nya,positif
Bagus sih,positif
Game yang bikin lupa maen SLOT 😂,positif
Yuy,positif
Bantu dapat skin dong,negatif
Dah,positif
Seru dan enak,negatif
ror banyakin event gratisan,positif
Terbaik,positif
game ramah,positif
game nya bagus banget,positif
banyak ds,positif
Cuma tolongblah player yang drak sistem di hukum berat,positif
Nice,positif
Gamenya bagus bgt + tambahin skin gratis lh monton buat player gratisan kayak gw,positif
Mantap,positif
bagus,positif
W gk bakal download game ini,negatif
game nya bagus banget😊,positif
Kadang kiding kadang kedeng kadang kadang,positif
bagus,positif
"Game nya bagus, hanya saja sering dapat tim dark sistem",positif
Game favorit,positif
Kembali ke game asliku,positif
mohon dihilangkan darksistem,positif
permainan sangat menyenangkan,positif
🙌🏼,positif
Mantap,positif
Matchmaking gapernah jelas ngtnd,negatif
Game terbaik,positif
mantap,positif
skibidi,positif
Game bagus dan sangat ramah dan juga baik bagi kesehatan,positif
Game keren,negatif
Wow,positif
Asu montoon,negatif
Gamenya bagus eventnya banyak playernya juga Ramah kalo gacha pasti hoki jangan lupa donlod ygy,positif
keren,positif
Good,positif
Ini game rusak bget ajG saat war mlah lag bodo nih,negatif
Tolong perbaiki sistem matchmaking nya kurangi darksistemnya kasian para player solo rank oke 🙏,positif
Game mantap cuma agak ngelag buat hp ram 4,positif
Sipppp,positif
Mantap tp kadang² ad bug ny jd mohon bug ny dia hps,positif
Semangat nun to on,positif
Kurang di Macthmaking nya kurang seimbang,positif
Kepaksa aja,positif
game bagus,positif
Nice,positif
game yang bagus 😀😀😀😀😀😀8,positif
Mantap monton,positif
Bagus game nya bang,positif
good,positif
Bagus,positif
Sangat bagusss,positif
Game darksistme monton dajall tim egois semua,negatif
Omagatt,positif
Singkat saja pahammm,positif
Monton benerin napa game lo ngebang mulu,negatif
Bagus banget,positif
Gem nya sangat bagus aku pun suka gem ini tapi musuh ku jago jago aku pun malu untuk pihak mobil legends mohon di perbaiki 🙏🏻,positif
Saran perbaiki sistem matchmaking,positif
Lumayan menghibur,positif
Game ini terlalu ramah saya suka🤩,positif
Mantap bet gamenya seru,positif
"ml tolong kasih tim yg bener napa,lose streak mlu capeeee cug lose streak mlu, kenapa sering lag sih🥲",negatif
Oke,positif
GAME INI SANGAT BAGUS SEKALI MAKANYA SAYA KASIH BINTANG 50,positif
game ini sangat cocok untuk dimainkan Lanang hehe,positif
Game terbaik,positif
game yg sangat bagus untuk di mainkan oleh orang yg kesepian😞,positif
Woi lagi santai kawan,positif
gamee nya sangat ramah,positif
Sistem matchmaking nya gak adil coy mending HOK aj,negatif
mantabbb bosqoe,positif
"WOII MOONTON LU PUNYA APLIKASI NGEBUG, ADVENTURE SERVER LU KAGAK BISA BUAT CLAIM STARLIGHT",negatif
saya sangat menyukai nya,positif
Gem nya ga adilmending hapus playstor apaan di beri kalah terus,negatif
bagus,positif
Gamenya sangat bagus,positif
Mantapp,positif
REPLAY GBISA DIBUKA KLENG,negatif
Game bosok tolol game titid babi burik akeh drak sistem monton tolol,negatif
Monton GK adil gk pk-nya Monton GK jelas,negatif
Jos game sangat baik,positif
Luar biasa sangat membaging kan wkwkwk,positif
mantap,positif
Mohon kurangin dark sistem,positif
Game ini sangat membantuku saat kesepian,positif
Rame wll,positif
Sangan enak d mainkan pesan tolong jangan banyak buat Hero yang kurang sakit,positif
ngasih tim yang ngotak ton sesuaiin mek,negatif
terimakasih,positif
Mantap,positif
sangatt seru!!,positif
Bagus,positif
Ok,positif
mantap,positif
Berikan saya skin Argus deth fader,positif
Ok,positif
sangat baik,positif
Sangat puts,positif
update yang ber bree,positif
keren aku suka mainnya,positif
Game bagus tapi banyak darksistem terutama saya,positif
Aku lah sangat raja,positif
Seru walaupun selalu kena darksistem,positif
BANYAK PLAYER DARK SISTEM!!!!! GAME BURIK!!!! MENYEDIHKAN GAME RUDAK,negatif
Lumayan walau banyak darksistemny,positif
"Good game,TPI tolong agak diperbaiki untuk daftar akun pakai KTP biar para bocil GK bisa main..",positif
Mantap game nya permainan yg seru tampilan bagus2 hero dan skin hero masing2 sangat luar biasa,positif
Mantap,positif
Mantap,positif
Sangat memuaskan,positif
Seru,positif
seru game nya,positif
bagus,positif
game nya sangat bagus dari honor of king,positif
Bagus,positif
bagus,positif
Perbaiki lagi soal match makingnya,negatif
Memang game ini bagus tapi akulous trek terus sampai pusing dan darah tinggi gem ini membuat tolollllll,negatif
mantap,positif
Game nya bagus dan grafiknya mantap,positif
pspdkemme,negatif
Mantao,positif
Game ini seru,positif
Good game,positif
Sangat bagus aku suka,positif
Di HOK jaringan ping bagus antara 32-40 ms..main ml jaringan 80-300 ms..lompat lompat ini jaringan..game rusak,negatif
Jarang menang:),negatif
"Game ini bagus sayamenyukai nya, masih ada bug tolong di perbaiki yaa",positif
Game nya seru pas dan cocok untuk menghilangkan rasa lelah sehabis bekerja,positif
Bagus cuma tambahin beberapa sistem yang mempermudahkan pemain,positif
Game yang enak untuk membangun kerja sama,positif
Woi kasih tim yang benar lh masa kalah terus gak adil ni momton pukima,positif
Gamenya bagus,positif
"Game nya Bagus, Hero Hero nya juga bagus, tapi 1 yaitu kalo ngelag suka maju sendiri trus suka keluar dari game tapi ga papalah oke cuma itu aja",positif
benerin dulu matchmaking jangan sibuk skin gratis ketemu tim gak sesuai rank kocak,negatif
Gameya seru tapi cuman jaringannya tidak bagus,positif
😍,positif
Game tolol ngasih tim dark sistem sistem Semua geme ini emg tolol buang aja skin gratis nya kalo tim nya dark sistem kntll,negatif
Kapal lawt,negatif
good,positif
afgh,positif
Montoon ksi lose trus g pernah kasi ws bnjig*,negatif
Sangat seru,positif
Bagus,positif
Sangat bagus tapi di tinggkat kan lagi,positif
Nice game,positif
👍,positif
seru,positif
Game nya roawrrrrrrrrrrrrr,positif
Bagus game tambahin lagi fitur asisten ml nyebutin Hero saat di pick biar keren😚😚,positif
Jaringan kau bagusin anjing,positif
Bagus,positif
Sangat sangat bagus dan saya suka sampai sekarang bagusss sekali 😁🥰,positif
Bagus bangit nih game,positif
Game nya baguss sekali,positif
mantap,positif
Bagus,positif
Bagus banget tapi agak banyak drak sistem 🗿🗿,positif
Saya user jungle saya sedang push rank dan ketemu miya yang sedang mengambil buff saya lebih dari 10x saya meripot dia dan di tidak kenapa napa. Tidak kenapa napa seperti di turunin kredit score nya saya berharap moonton bisa membuat aturan tentang tidak boleh menganggu seseorang yg sedang bermain,negatif
good,positif
Nice,positif
Saatnya pertunjukanku aku raja caryy!,positif
mantapp,positif
penurunan rank nya gak logis harus nya yang epic turun ke Grandmaster. kenapa yang epic pas penurunan rank malah masih di epic sih gak jelas banget,negatif
Mantap,positif
Ya lumayan enak tapi drak sistem montoon bikin emosi naik,positif
Sangat buruk karena banyak dark sistem,negatif
Sangat bagus di mainkan apa lagi klo lagi strees truss main truss kalah tambah stress pokonya🤣,positif
Seru,positif
Kasih winstreak min,positif
Game seru,positif
God job,positif
"Tolong benerin masalah tim, tim musuh lebih unggul dalam gameplay sedangkan tim kita sangat tidak unggul klo bisa untuk pencarian disamain gameplay nya agar dpt komunikasi lebih bagus",negatif
banyak bug males,positif
Woy moonton . Perbaiki . Tim gua bot kali tim musuh pro player . Mending pindak ke .HONORS OF KIGS,negatif
Bagus,positif
.....Mbb bgus,positif
"Event server luar code reedem dapet skin epic sedangkan di indo code reedemnya 99,9% isinya fragmen ,jangan pilih kasih lah pemain terbanyak kan orang indo ,lu bisa kaya karena indo orangnya suka topup ,giliran event code reedem isinya sampah kocak",negatif
event nya mantapp semua,positif
Bagus,positif
Saya sangat suka game ini keren,positif
game nya sangat bagus ramah dan baik baik orang nya,positif
Gamenya bagus tapi ada bugnya draw summonnya tetap 90 padahal udah lebih 90kali.,positif
Game rusak,negatif
"Game bug ga jelas,apalah tim gua kaya bot sedangkan musuh nya pro semua,setiap gua main lag muli perasaan",negatif
Mantap,positif
